icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
abb1de,SWA1412 ,United States,1727379685,1727379685,-121.9159,37.3521,,True,0.77,227.81,,[],,None,False,0
3c4a02,DLH478  ,Germany,1727379543,1727379658,-66.3844,48.569,11582.4,False,223.06,241.48,0.0,[],11887.2,2557,False,0
aa5690,UAL519  ,United States,1727379581,1727379590,-71.0151,42.3617,,True,1.29,14.06,,[],,None,False,0
ad413b,EJA953  ,United States,1727379684,1727379685,-94.6647,43.338,10363.2,False,228.69,279.84,0.0,[],10904.22,4033,False,0
e200d7,SAETTA92,Argentina,1727379683,1727379684,-58.5428,-34.3198,297.18,False,45.07,231.95,-0.33,[],396.24,None,False,0
0d0c9b,VOI1821 ,Mexico,1727379683,1727379684,-110.8084,27.6932,11285.22,False,236.15,133.68,0.0,[],11993.88,4204,False,0
aae16b,TIV80   ,United States,1727379684,1727379684,-113.9049,35.5166,6339.84,False,177.12,320.07,-8.13,[],6667.5,6207,False,0
7585b3,APG603  ,Philippines,1727379683,1727379683,121.1314,12.6721,9372.6,False,220.95,168.59,6.5,[],9997.44,None,False,0
a7d682,NLE103  ,United States,1727379684,1727379684,-75.368,39.1299,3017.52,False,108.63,248.9,0.0,[],3162.3,None,False,0
ae11b5,ROVE22  ,United States,1727379364,1727379379,-100.641,29.4673,4023.36,False,89.53,215.88,-5.85,[],4221.48,None,False,0
a723c1,N5594C  ,United States,1727379684,1727379684,-97.3843,43.5601,1836.42,False,89.92,278.22,0.0,[],1874.52,None,False,0
a0e220,SKW5332 ,United States,1727379684,1727379684,-82.6281,40.6366,10668.0,False,262.97,66.85,0.33,[],11193.78,2736,False,0
acd1dc,N925MM  ,United States,1727379618,1727379618,-121.816,37.3302,,True,3.09,143.44,,[],,None,False,0
34560d,VLG99UX ,Spain,1727379684,1727379684,-8.2011,38.7846,5539.74,False,168.1,230.46,-6.18,[],5875.02,0442,False,0
adf1d3,N998RA  ,United States,1727379684,1727379684,-77.8375,43.2059,701.04,False,55.65,76.09,0.98,[],731.52,None,False,0
a15bce,N187MP  ,United States,1727379684,1727379684,-93.5626,35.4984,2712.72,False,82.9,123.1,0.33,[],2743.2,None,False,0
a10e73,CXK173  ,United States,1727379684,1727379684,-111.5939,40.1469,1935.48,False,49.85,226.25,0.65,[],2011.68,None,False,0
a7d635,N604BA  ,United States,1727379684,1727379684,26.6192,42.6091,11582.4,False,237.02,273.24,0.0,[],12153.9,0617,False,0
c032a2,WEN3268 ,Canada,1727379684,1727379684,-117.2697,47.9123,7315.2,False,144.56,214.71,-0.33,[],7528.56,None,False,0
c045d4,CGALN   ,Canada,1727379684,1727379684,-123.4467,48.8291,1493.52,False,128.31,249.09,-13.66,[],1463.04,None,False,0
a1b2a8,JBU1002 ,United States,1727379685,1727379685,-75.6825,37.6831,10058.4,False,253.76,15.64,0.0,[],10645.14,2340,False,0
a08b63,N134PS  ,United States,1727379652,1727379653,-111.883,40.888,1661.16,False,57.37,212.55,-4.55,[],1714.5,None,False,0
a34209,AAL1100 ,United States,1727379681,1727379682,-90.3378,34.8929,7010.4,False,208.87,67.1,0.0,[],7185.66,0552,False,0
345618,TUI6AV  ,Spain,1727379684,1727379685,20.139,45.4045,10972.8,False,217.75,329.31,0.0,[],11559.54,5536,False,0
a0b8fb,AAL1780 ,United States,1727379542,1727379543,-80.3137,25.8052,137.16,False,78.55,119.42,-4.55,[],76.2,2636,False,0
a89f52,PDT5771 ,United States,1727379490,1727379490,-75.2483,39.9123,144.78,False,70.99,159.2,-3.9,[],190.5,3116,False,0
a33b0d,N307TS  ,United States,1727379684,1727379684,-69.9232,44.1993,3017.52,False,102.61,206.82,0.33,[],3093.72,None,False,0
4ca9eb,RYR56GZ ,Ireland,1727379684,1727379684,-0.6969,45.3799,10972.8,False,225.73,334.49,0.0,[],11163.3,2323,False,0
abaafe,SWA1467 ,United States,1727379684,1727379684,-121.4958,38.688,1371.6,False,114.81,129.18,11.7,[],1371.6,None,False,0
ac1a95,SWA976  ,United States,1727379683,1727379684,-122.2474,47.7044,1493.52,False,115.22,280.81,0.98,[],1501.14,1121,False,0
a318ea,SWA2526 ,United States,1727379684,1727379684,-102.8002,31.2632,11582.4,False,232.96,281.33,0.0,[],12237.72,None,False,0
345611,VOE51HW ,Spain,1727379684,1727379684,-4.393,39.7128,10058.4,False,201.79,189.39,0.0,[],10576.56,None,False,0
